n test inserts deletes updates time
11 t2 1000 559 3317 5
11 t3 1000 387 3100 5
11 t4 1000 867 3506 6
11 t5 1000 372 3214 5
11 t6 1000 860 3708 7
11 t7 1000 742 3746 7
11 t8 1000 272 3148 5
11 t9 1000 800 3775 7
12 t10 1000 937 3841 7
12 t11 1000 993 3946 8
12 t12 1000 736 3892 7
12 t13 1000 289 3415 6
12 t14 1000 377 3800 7
12 t15 1000 349 3675 6
12 t16 1000 638 4006 8
12 t17 1000 625 4063 8
12 t18 1000 69 2516 4
12 t19 1000 596 4090 8
12 t1 1000 322 2816 4
12 t20 1000 407 3968 7
12 t2 1000 555 3302 5
12 t3 1000 388 3103 5
12 t4 1000 861 3505 6
12 t5 1000 371 3179 5
12 t6 1000 862 3711 7
12 t7 1000 757 3747 7
12 t8 1000 268 3152 5
12 t9 1000 812 3780 7
13 t10 1000 935 3835 7
13 t11 1000 992 3951 8
13 t12 1000 734 3896 7
13 t13 1000 286 3407 6
13 t14 1000 375 3787 7
13 t15 1000 351 3671 6
13 t16 1000 647 4021 8
13 t17 1000 625 4066 8
13 t18 1000 65 2445 4
13 t19 1000 617 4096 8
13 t1 1000 319 2796 4
13 t20 1000 402 3943 7
13 t2 1000 555 3299 5
13 t3 1000 373 3076 5
13 t4 1000 866 3508 6
13 t5 1000 371 3200 5
13 t6 1000 860 3713 7
13 t7 1000 728 3727 7
13 t8 1000 266 3146 5
13 t9 1000 800 3757 7
14 t10 1000 941 3838 7
14 t11 1000 992 3951 8
14 t12 1000 730 3898 7
14 t13 1000 285 3405 6
14 t14 1000 374 3803 7
14 t15 1000 352 3690 7
14 t16 1000 616 3979 7
14 t17 1000 653 4068 8
14 t18 1000 63 2411 4
14 t19 1000 644 4111 8
14 t1 1000 317 2800 5
14 t20 1000 425 3985 7
14 t2 1000 553 3293 5
14 t3 1000 394 3113 5
14 t4 1000 863 3514 6
14 t5 1000 373 3205 5
14 t6 1000 859 3716 7
14 t7 1000 756 3746 7
14 t8 1000 265 3151 5
14 t9 1000 806 3766 7
15 t10 1000 933 3844 7
15 t11 1000 992 3936 8
15 t12 1000 722 3903 7
15 t13 1000 284 3404 6
15 t14 1000 371 3779 7
15 t15 1000 351 3667 6
15 t16 1000 641 4002 7
15 t17 1000 650 4062 8
15 t18 1000 63 2424 4
15 t19 1000 635 4108 8
15 t1 1000 320 2799 4
15 t20 1000 397 3934 7
15 t2 1000 549 3282 5
15 t3 1000 397 3105 5
15 t4 1000 875 3503 6
15 t5 1000 371 3201 5
15 t6 1000 863 3732 7
15 t7 1000 745 3754 7
15 t8 1000 261 3140 5
15 t9 1000 801 3762 7
16 t10 1000 942 3837 7
16 t11 1000 993 3935 8
16 t12 1000 713 3887 8
16 t13 1000 278 3375 6
16 t14 1000 368 3779 7
16 t15 1000 344 3640 6
16 t16 1000 677 4015 8
16 t17 1000 658 4065 8
16 t18 1000 61 2395 4
16 t19 1000 589 4080 8
16 t1 1000 316 2782 4
16 t20 1000 389 3910 7
16 t2 1000 546 3279 5
16 t3 1000 399 3119 5
16 t4 1000 867 3493 6
16 t5 1000 377 3214 5
16 t6 1000 861 3728 7
16 t7 1000 745 3747 7
16 t8 1000 269 3155 5
16 t9 1000 806 3753 7
17 t10 1000 942 3829 7
17 t11 1000 993 3952 8
