n test inserts deletes updates time
1 t10 1000 728 3835 29
1 t11 1000 709 3930 29
1 t12 1000 695 3862 31
1 t13 1000 101 2648 17
1 t14 1000 881 4003 31
1 t15 1000 955 4074 32
1 t16 1000 945 4133 32
1 t17 1000 498 3965 29
1 t18 1000 48 2143 14
1 t19 1000 255 3659 25
1 t1 1000 636 3150 24
1 t20 1000 472 4074 29
1 t2 1000 776 3429 27
1 t3 1000 995 3611 28
1 t4 1000 458 3334 24
1 t5 1000 185 2717 18
1 t6 1000 645 3603 29
1 t7 1000 99 2294 15
1 t8 1000 107 2412 16
1 t9 1000 981 3833 30
2 t10 1000 729 3818 8
2 t11 1000 670 3902 8
2 t12 1000 703 3890 9
2 t13 1000 88 2539 5
2 t14 1000 880 3983 9
2 t15 1000 957 4068 10
2 t16 1000 947 4138 10
2 t17 1000 476 3950 9
2 t18 1000 48 2136 4
2 t19 1000 242 3634 8
2 t1 1000 633 3135 6
2 t20 1000 484 4066 9
2 t2 1000 775 3445 7
2 t3 1000 994 3607 8
2 t4 1000 490 3382 7
2 t5 1000 209 2835 6
2 t6 1000 621 3576 8
2 t7 1000 104 2362 5
2 t8 1000 107 2418 5
2 t9 1000 981 3823 9
3 t10 1000 715 3815 8
3 t11 1000 667 3907 8
3 t12 1000 688 3844 8
3 t13 1000 88 2534 5
3 t14 1000 889 4007 8
3 t15 1000 955 4050 9
3 t16 1000 944 4153 9
3 t17 1000 447 3910 8
3 t18 1000 49 2151 4
3 t19 1000 263 3669 7
3 t1 1000 647 3163 6
3 t20 1000 484 4099 9
3 t2 1000 766 3437 6
3 t3 1000 994 3621 7
3 t4 1000 452 3323 6
3 t5 1000 190 2743 5
3 t6 1000 647 3608 7
3 t7 1000 103 2357 4
3 t8 1000 106 2408 4
3 t9 1000 982 3801 8
4 t10 1000 733 3809 8
4 t11 1000 688 3900 8
4 t12 1000 691 3862 8
4 t13 1000 92 2570 5
4 t14 1000 885 4011 9
4 t15 1000 957 4049 9
4 t16 1000 946 4151 9
4 t17 1000 446 3911 8
4 t18 1000 48 2154 4
4 t19 1000 260 3688 7
4 t1 1000 642 3162 6
4 t20 1000 490 4075 8
4 t2 1000 760 3430 6
4 t3 1000 994 3620 7
4 t4 1000 470 3347 6
4 t5 1000 190 2726 5
4 t6 1000 646 3617 7
4 t7 1000 97 2305 4
4 t8 1000 106 2417 4
4 t9 1000 981 3824 8
5 t10 1000 738 3849 8
5 t11 1000 713 3928 8
5 t12 1000 703 3857 8
5 t13 1000 86 2530 4
5 t14 1000 884 3999 8
5 t15 1000 957 4057 9
5 t16 1000 947 4168 9
5 t17 1000 493 3980 8
5 t18 1000 40 1978 3
5 t19 1000 277 3745 7
5 t1 1000 636 3154 6
5 t20 1000 420 3992 8
5 t2 1000 762 3446 6
5 t3 1000 994 3627 7
5 t4 1000 466 3354 6
5 t5 1000 202 2799 5
5 t6 1000 624 3558 6
5 t7 1000 103 2366 4
5 t8 1000 93 2290 4
5 t9 1000 983 3813 8
6 t10 1000 729 3824 7
6 t11 1000 691 3904 7
6 t12 1000 694 3872 8
6 t13 1000 105 2704 5
6 t14 1000 876 4009 8
6 t15 1000 955 4069 9
6 t16 1000 941 4146 9
6 t17 1000 463 3939 8
6 t18 1000 48 2132 4
6 t19 1000 260 3690 7
6 t1 1000 634 3154 6
6 t20 1000 429 4038 8
6 t2 1000 765 3444 6
6 t3 1000 994 3613 7
6 t4 1000 474 3356 6
6 t5 1000 196 2765 5
6 t6 1000 614 3570 6
6 t7 1000 104 2353 4
6 t8 1000 103 2357 4
6 t9 1000 981 3820 8
7 t10 1000 712 3808 7
7 t11 1000 697 3902 7
7 t12 1000 689 3864 7
7 t13 1000 103 2680 5
7 t14 1000 890 4001 8
7 t15 1000 960 4060 9
7 t16 1000 946 4145 9
7 t17 1000 465 3939 7
7 t18 1000 45 2091 4
7 t19 1000 245 3647 7
7 t1 1000 635 3154 5
7 t20 1000 419 4014 8
7 t2 1000 760 3442 6
7 t3 1000 995 3630 7
7 t4 1000 461 3332 6
7 t5 1000 187 2717 5
7 t6 1000 636 3598 6
7 t7 1000 105 2378 4
7 t8 1000 102 2370 4
7 t9 1000 981 3830 8
8 t10 1000 723 3827 7
8 t11 1000 674 3894 7
8 t12 1000 699 3892 7
8 t13 1000 96 2620 4
8 t14 1000 880 3982 8
8 t15 1000 955 4051 8
8 t16 1000 940 4143 9
8 t17 1000 506 3996 8
8 t18 1000 41 2005 3
8 t19 1000 302 3792 7
8 t1 1000 635 3149 5
8 t20 1000 496 4061 8
8 t2 1000 760 3421 6
8 t3 1000 995 3613 7
8 t4 1000 473 3342 6
8 t5 1000 208 2826 5
8 t6 1000 632 3565 6
8 t7 1000 105 2384 4
8 t8 1000 97 2317 4
8 t9 1000 982 3833 8
9 t10 1000 719 3825 7
9 t11 1000 699 3917 7
9 t12 1000 695 3856 7
9 t13 1000 88 2557 4
9 t14 1000 870 3989 8
9 t15 1000 956 4051 8
9 t16 1000 944 4148 8
9 t17 1000 500 3962 7
9 t18 1000 39 1956 3
9 t19 1000 287 3763 7
9 t1 1000 635 3142 5
9 t20 1000 446 4009 7
9 t2 1000 759 3438 6
9 t3 1000 995 3634 7
9 t4 1000 454 3343 6
9 t5 1000 203 2810 5
9 t6 1000 630 3567 6
9 t7 1000 106 2399 4
9 t8 1000 93 2287 4
9 t9 1000 982 3807 7
10 t10 1000 730 3822 7
10 t11 1000 695 3931 7
10 t12 1000 694 3863 7
10 t13 1000 85 2532 4
10 t14 1000 865 3980 8
10 t15 1000 959 4051 8
10 t16 1000 944 4173 8
10 t17 1000 497 3976 7
10 t18 1000 49 2157 3
10 t19 1000 281 3739 7
10 t1 1000 634 3157 5
10 t20 1000 440 4006 7
10 t2 1000 776 3453 6
10 t3 1000 995 3628 6
10 t4 1000 451 3341 6
10 t5 1000 201 2797 5
10 t6 1000 626 3583 6
10 t7 1000 103 2364 4
10 t8 1000 107 2415 4
10 t9 1000 983 3802 8
11 t10 1000 725 3824 7
11 t11 1000 688 3936 7
11 t12 1000 697 3866 7
11 t13 1000 85 2523 4
11 t14 1000 879 3978 8
11 t15 1000 955 4053 8
11 t16 1000 947 4160 8
11 t17 1000 493 3959 7
11 t18 1000 49 2157 3
11 t19 1000 282 3729 7
11 t1 1000 635 3149 5
11 t20 1000 425 3979 7
11 t2 1000 773 3446 6
11 t3 1000 994 3624 6
11 t4 1000 451 3340 6
11 t5 1000 198 2788 5
11 t6 1000 623 3589 6
11 t7 1000 100 2349 4
11 t8 1000 107 2414 4
11 t9 1000 981 3801 7
12 t10 1000 727 3821 7
12 t11 1000 673 3926 7
12 t12 1000 699 3856 7
12 t13 1000 85 2517 4
12 t14 1000 882 3979 8
12 t15 1000 956 4058 8
12 t16 1000 946 4157 8
12 t17 1000 482 3970 7
12 t18 1000 49 2157 4
12 t19 1000 279 3718 7
12 t1 1000 636 3142 5
12 t20 1000 432 3994 7
12 t2 1000 773 3441 6
12 t3 1000 995 3615 6
12 t4 1000 449 3338 6
12 t5 1000 199 2790 5
12 t6 1000 618 3572 6
12 t7 1000 100 2333 4
12 t8 1000 104 2375 4
12 t9 1000 981 3813 7
13 t10 1000 734 3814 7
13 t11 1000 698 3928 7
13 t12 1000 693 3858 7
13 t13 1000 108 2729 4
13 t14 1000 888 3979 8
13 t15 1000 959 4076 8
13 t16 1000 946 4171 8
13 t17 1000 470 3964 7
13 t18 1000 49 2152 3
13 t19 1000 273 3720 6
13 t1 1000 636 3150 5
13 t20 1000 440 4049 7
13 t2 1000 771 3450 6
13 t3 1000 995 3618 6
13 t4 1000 458 3346 6
13 t5 1000 197 2792 5
13 t6 1000 616 3575 6
13 t7 1000 100 2345 4
13 t8 1000 102 2357 4
13 t9 1000 981 3805 7
14 t10 1000 731 3832 7
14 t11 1000 691 3923 7
14 t12 1000 700 3863 7
14 t13 1000 108 2714 5
14 t14 1000 879 3997 8
14 t15 1000 954 4060 8
14 t16 1000 939 4138 8
14 t17 1000 467 3939 7
14 t18 1000 48 2131 3
14 t19 1000 269 3713 6
14 t1 1000 635 3156 5
14 t20 1000 484 4084 8
14 t2 1000 769 3442 6
14 t3 1000 994 3627 6
14 t4 1000 497 3387 6
14 t5 1000 195 2767 4
14 t6 1000 616 3570 6
14 t7 1000 99 2330 4
14 t8 1000 102 2349 4
14 t9 1000 983 3814 7
15 t10 1000 726 3818 7
15 t11 1000 692 3912 7
15 t12 1000 715 3881 7
15 t13 1000 105 2697 4
15 t14 1000 881 3991 8
15 t15 1000 956 4055 8
15 t16 1000 940 4136 8
15 t17 1000 467 3932 7
15 t18 1000 46 2092 3
15 t19 1000 262 3698 6
15 t1 1000 636 3160 5
15 t20 1000 496 4128 8
15 t2 1000 765 3436 6
15 t3 1000 994 3621 6
15 t4 1000 495 3390 6
15 t5 1000 196 2771 5
15 t6 1000 614 3585 6
15 t7 1000 98 2320 4
15 t8 1000 100 2335 4
15 t9 1000 981 3815 7
16 t10 1000 724 3813 7
16 t11 1000 686 3914 7
16 t12 1000 695 3870 7
16 t13 1000 102 2670 5
16 t14 1000 885 4007 8
16 t15 1000 956 4048 8
16 t16 1000 940 4142 8
16 t17 1000 456 3919 7
16 t18 1000 47 2119 3
16 t19 1000 286 3776 7
16 t1 1000 633 3159 5
16 t20 1000 488 4117 8
16 t2 1000 764 3446 6
16 t3 1000 995 3617 7
16 t4 1000 493 3370 6
16 t5 1000 194 2759 4
16 t6 1000 653 3611 6
16 t7 1000 98 2316 4
16 t8 1000 100 2336 4
16 t9 1000 980 3818 7
17 t10 1000 724 3817 7
17 t11 1000 683 3928 7
17 t12 1000 691 3858 7
17 t13 1000 102 2669 4
17 t14 1000 880 3999 8
17 t15 1000 957 4045 8
17 t16 1000 939 4137 8
17 t17 1000 452 3931 7
17 t18 1000 46 2104 3
17 t19 1000 258 3684 6
17 t1 1000 642 3163 5
17 t20 1000 482 4097 8
17 t2 1000 765 3451 6
17 t3 1000 994 3609 6
17 t4 1000 489 3375 6
17 t5 1000 192 2737 4
17 t6 1000 648 3614 6
17 t7 1000 98 2315 4
17 t8 1000 100 2331 4
17 t9 1000 981 3824 7
18 t10 1000 724 3815 7
18 t11 1000 677 3908 7
18 t12 1000 691 3871 7
18 t13 1000 102 2667 4
18 t14 1000 873 3999 8
18 t15 1000 955 4042 8
18 t16 1000 945 4139 8
18 t17 1000 444 3921 7
18 t18 1000 45 2089 3
18 t19 1000 256 3681 6
18 t1 1000 642 3156 5
18 t20 1000 422 4012 7
18 t2 1000 766 3448 6
18 t3 1000 995 3617 6
18 t4 1000 488 3357 6
18 t5 1000 190 2721 4
18 t6 1000 645 3615 6
18 t7 1000 99 2326 4
18 t8 1000 99 2314 4
18 t9 1000 981 3824 7
19 t10 1000 709 3811 7
19 t11 1000 673 3903 7
19 t12 1000 690 3867 7
19 t13 1000 101 2655 4
19 t14 1000 876 3972 8
19 t15 1000 960 4035 9
19 t16 1000 942 4135 8
19 t17 1000 441 3913 7
19 t18 1000 44 2070 3
19 t19 1000 250 3663 6
19 t1 1000 649 3162 5
19 t20 1000 425 4010 7
19 t2 1000 762 3450 6
19 t3 1000 994 3611 6
19 t4 1000 488 3364 6
19 t5 1000 187 2708 4
19 t6 1000 639 3604 6
19 t7 1000 98 2321 4
19 t8 1000 100 2329 4
19 t9 1000 982 3821 8
20 t10 1000 739 3824 7
20 t11 1000 675 3899 7
20 t12 1000 692 3868 7
20 t13 1000 99 2638 4
20 t14 1000 869 3977 8
20 t15 1000 955 4046 8
20 t16 1000 945 4132 8
20 t17 1000 452 3940 7
20 t18 1000 43 2051 3
20 t19 1000 242 3635 6
20 t1 1000 652 3157 5
20 t20 1000 478 4074 8
20 t2 1000 765 3447 6
20 t3 1000 994 3629 6
20 t4 1000 486 3361 6
20 t5 1000 185 2697 4
20 t6 1000 639 3604 6
20 t7 1000 97 2312 4
20 t8 1000 98 2331 4
20 t9 1000 980 3820 7
