n test inserts deletes updates time
1 t10 1000 507 3680 27
1 t11 1000 116 2673 17
1 t12 1000 83 2394 16
1 t13 1000 498 3913 28
1 t14 1000 340 3612 25
1 t15 1000 613 4021 30
1 t16 1000 385 3726 26
1 t17 1000 471 3986 30
1 t18 1000 487 3981 29
1 t19 1000 597 4063 31
1 t1 1000 884 3249 26
1 t20 1000 680 4118 31
1 t2 1000 687 3291 25
1 t3 1000 861 3359 27
1 t4 1000 743 3443 26
1 t5 1000 829 3601 28
1 t6 1000 81 2116 14
1 t7 1000 720 3696 28
1 t8 1000 638 3666 28
1 t9 1000 113 2607 17
2 t10 1000 545 3727 8
2 t11 1000 125 2736 5
2 t12 1000 73 2269 4
2 t13 1000 511 3913 8
2 t14 1000 376 3707 8
2 t15 1000 632 4009 9
2 t16 1000 394 3720 8
2 t17 1000 463 3960 9
2 t18 1000 555 4067 9
2 t19 1000 592 4040 9
2 t1 1000 883 3233 7
2 t20 1000 700 4108 10
2 t2 1000 680 3279 6
2 t3 1000 868 3349 7
2 t4 1000 725 3440 7
2 t5 1000 816 3600 8
2 t6 1000 82 2119 4
2 t7 1000 740 3700 8
2 t8 1000 606 3652 8
2 t9 1000 117 2624 5
3 t10 1000 505 3673 7
3 t11 1000 104 2560 5
3 t12 1000 78 2319 4
3 t13 1000 500 3913 8
3 t14 1000 388 3735 7
3 t15 1000 601 4009 8
3 t16 1000 387 3708 7
3 t17 1000 449 3957 8
3 t18 1000 503 4029 8
3 t19 1000 611 4040 9
3 t1 1000 886 3247 6
3 t20 1000 671 4098 9
3 t2 1000 683 3268 6
3 t3 1000 871 3345 7
3 t4 1000 737 3438 7
3 t5 1000 829 3609 7
3 t6 1000 83 2154 4
3 t7 1000 739 3693 7
3 t8 1000 640 3684 7
3 t9 1000 104 2534 5
4 t10 1000 533 3713 7
4 t11 1000 107 2595 5
4 t12 1000 78 2351 4
4 t13 1000 519 3924 8
4 t14 1000 374 3692 7
4 t15 1000 681 4047 8
4 t16 1000 370 3703 7
4 t17 1000 427 3920 8
4 t18 1000 504 4019 8
4 t19 1000 598 4040 8
4 t1 1000 881 3250 6
4 t20 1000 690 4122 9
4 t2 1000 679 3263 6
4 t3 1000 862 3357 6
4 t4 1000 729 3449 6
4 t5 1000 822 3609 7
4 t6 1000 84 2174 4
4 t7 1000 726 3689 7
4 t8 1000 635 3687 7
4 t9 1000 107 2551 4
5 t10 1000 532 3727 7
5 t11 1000 113 2657 5
5 t12 1000 84 2407 4
5 t13 1000 534 3947 8
5 t14 1000 345 3638 7
5 t15 1000 618 4024 8
5 t16 1000 394 3704 7
5 t17 1000 460 3994 8
5 t18 1000 499 4005 8
5 t19 1000 570 4064 8
5 t1 1000 886 3243 6
5 t20 1000 682 4118 9
5 t2 1000 679 3263 6
5 t3 1000 872 3330 6
5 t4 1000 733 3434 7
5 t5 1000 823 3605 7
5 t6 1000 89 2231 4
5 t7 1000 749 3711 7
5 t8 1000 609 3656 7
5 t9 1000 123 2680 5
6 t10 1000 536 3716 7
6 t11 1000 108 2608 4
6 t12 1000 79 2346 4
6 t13 1000 514 3923 7
6 t14 1000 344 3626 7
6 t15 1000 682 4056 8
6 t16 1000 376 3717 7
6 t17 1000 467 3971 7
6 t18 1000 513 4051 8
6 t19 1000 564 4027 8
6 t1 1000 887 3248 6
6 t20 1000 675 4129 8
6 t2 1000 668 3265 6
6 t3 1000 862 3353 6
6 t4 1000 731 3434 6
6 t5 1000 820 3613 7
6 t6 1000 84 2159 4
6 t7 1000 722 3704 7
6 t8 1000 595 3669 7
6 t9 1000 107 2554 4
7 t10 1000 532 3716 7
7 t11 1000 105 2590 5
7 t12 1000 75 2297 4
7 t13 1000 509 3907 7
7 t14 1000 343 3631 7
7 t15 1000 657 4019 8
7 t16 1000 431 3783 7
7 t17 1000 422 3926 7
7 t18 1000 490 4015 8
7 t19 1000 562 4019 8
7 t1 1000 887 3248 6
7 t20 1000 718 4117 8
7 t2 1000 685 3266 6
7 t3 1000 859 3363 6
7 t4 1000 734 3437 6
7 t5 1000 819 3601 6
7 t6 1000 82 2143 3
7 t7 1000 743 3690 7
7 t8 1000 626 3673 7
7 t9 1000 104 2523 4
8 t10 1000 498 3693 7
8 t11 1000 123 2732 5
8 t12 1000 72 2267 4
8 t13 1000 510 3922 7
8 t14 1000 337 3602 7
8 t15 1000 662 4011 8
8 t16 1000 401 3697 7
8 t17 1000 434 3937 7
8 t18 1000 555 4022 8
8 t19 1000 619 4092 8
8 t1 1000 876 3248 6
8 t20 1000 711 4121 8
8 t2 1000 683 3270 6
8 t3 1000 875 3344 6
8 t4 1000 730 3438 6
8 t5 1000 814 3626 7
8 t6 1000 94 2284 4
8 t7 1000 736 3684 7
8 t8 1000 627 3639 7
8 t9 1000 124 2668 4
9 t10 1000 548 3722 7
9 t11 1000 114 2660 4
9 t12 1000 83 2397 4
9 t13 1000 493 3912 7
9 t14 1000 332 3599 6
9 t15 1000 656 4044 8
9 t16 1000 397 3722 7
9 t17 1000 436 3952 7
9 t18 1000 550 4052 8
9 t19 1000 618 4077 8
9 t1 1000 886 3256 6
9 t20 1000 719 4136 8
9 t2 1000 680 3258 5
9 t3 1000 886 3335 6
9 t4 1000 727 3440 6
9 t5 1000 817 3607 6
9 t6 1000 85 2178 3
9 t7 1000 729 3665 7
9 t8 1000 620 3635 7
9 t9 1000 116 2624 4
10 t10 1000 514 3684 7
10 t11 1000 111 2631 4
10 t12 1000 80 2370 4
10 t13 1000 535 3947 7
10 t14 1000 332 3598 6
10 t15 1000 672 4063 8
10 t16 1000 392 3738 7
10 t17 1000 461 3970 7
10 t18 1000 513 4014 7
10 t19 1000 630 4075 8
10 t1 1000 875 3235 6
10 t20 1000 692 4111 8
10 t2 1000 678 3265 5
10 t3 1000 864 3343 6
10 t4 1000 734 3432 6
10 t5 1000 832 3620 6
10 t6 1000 87 2209 4
10 t7 1000 718 3682 7
10 t8 1000 615 3659 6
10 t9 1000 108 2551 4
11 t10 1000 536 3715 7
11 t11 1000 110 2610 4
11 t12 1000 80 2370 4
11 t13 1000 530 3931 7
11 t14 1000 327 3581 6
11 t15 1000 644 4037 7
11 t16 1000 391 3753 7
11 t17 1000 445 3958 7
11 t18 1000 542 4040 7
11 t19 1000 571 4034 8
11 t1 1000 886 3243 6
11 t20 1000 706 4117 8
11 t2 1000 664 3265 5
11 t3 1000 862 3348 6
11 t4 1000 726 3431 6
11 t5 1000 816 3609 6
11 t6 1000 83 2148 3
11 t7 1000 721 3694 7
11 t8 1000 613 3651 6
11 t9 1000 108 2549 4
12 t10 1000 514 3701 6
12 t11 1000 107 2594 4
12 t12 1000 79 2360 4
12 t13 1000 535 3922 7
12 t14 1000 391 3715 7
12 t15 1000 672 4041 8
12 t16 1000 386 3715 7
12 t17 1000 463 3984 7
12 t18 1000 510 4012 7
12 t19 1000 562 4039 8
12 t1 1000 884 3247 6
12 t20 1000 671 4109 8
12 t2 1000 681 3275 5
12 t3 1000 860 3355 6
12 t4 1000 737 3443 6
12 t5 1000 829 3601 6
12 t6 1000 85 2182 3
12 t7 1000 723 3688 7
12 t8 1000 613 3680 6
12 t9 1000 106 2541 4
13 t10 1000 543 3727 7
13 t11 1000 110 2615 4
13 t12 1000 77 2334 4
