n test inserts deletes updates time
1 t10 1000 819 3849 29
1 t11 1000 905 3959 30
1 t12 1000 618 3884 29
1 t13 1000 577 3884 29
1 t14 1000 225 3352 23
1 t15 1000 437 3739 27
1 t16 1000 550 4077 30
1 t17 1000 804 4143 32
1 t18 1000 513 4129 30
1 t19 1000 32 1730 11
1 t1 1000 314 2783 20
1 t20 1000 933 4215 33
1 t2 1000 759 3329 26
1 t3 1000 506 3219 24
1 t4 1000 516 3485 25
1 t5 1000 995 3601 28
1 t6 1000 469 3452 25
1 t7 1000 88 2220 15
1 t8 1000 314 3227 23
1 t9 1000 132 2568 17
2 t10 1000 817 3873 8
2 t11 1000 903 3962 9
2 t12 1000 629 3921 9
2 t13 1000 551 3826 8
2 t14 1000 220 3354 7
2 t15 1000 420 3706 8
2 t16 1000 555 4098 9
2 t17 1000 786 4157 10
2 t18 1000 566 4184 9
2 t19 1000 28 1599 3
2 t1 1000 323 2790 6
2 t20 1000 932 4196 10
2 t2 1000 739 3319 7
2 t3 1000 521 3255 6
2 t4 1000 537 3515 7
2 t5 1000 995 3600 8
2 t6 1000 463 3433 7
2 t7 1000 84 2169 4
2 t8 1000 333 3271 7
2 t9 1000 142 2628 5
3 t10 1000 824 3864 8
3 t11 1000 888 3957 8
3 t12 1000 629 3920 8
3 t13 1000 566 3837 8
3 t14 1000 205 3299 6
3 t15 1000 435 3726 8
3 t16 1000 503 3978 8
3 t17 1000 786 4173 9
3 t18 1000 578 4187 9
3 t19 1000 31 1692 3
3 t1 1000 324 2791 5
3 t20 1000 926 4230 10
3 t2 1000 748 3314 6
3 t3 1000 498 3227 6
3 t4 1000 522 3496 7
3 t5 1000 996 3593 7
3 t6 1000 475 3433 7
3 t7 1000 77 2076 4
3 t8 1000 325 3252 6
3 t9 1000 140 2618 5
4 t10 1000 824 3862 8
4 t11 1000 900 3964 8
4 t12 1000 599 3887 8
4 t13 1000 582 3860 8
4 t14 1000 206 3303 6
4 t15 1000 426 3718 8
4 t16 1000 536 4028 8
4 t17 1000 816 4181 9
4 t18 1000 525 4121 8
4 t19 1000 33 1759 3
4 t1 1000 322 2788 5
4 t20 1000 935 4213 9
4 t2 1000 752 3323 6
4 t3 1000 504 3233 6
4 t4 1000 493 3480 6
4 t5 1000 996 3603 7
4 t6 1000 480 3453 6
4 t7 1000 76 2064 3
