n test inserts deletes updates time
14 t10 1000 786 3890 7
14 t11 1000 894 4024 8
14 t12 1000 356 3610 6
14 t13 1000 521 3797 7
14 t14 1000 889 4107 8
14 t15 1000 655 3973 7
14 t16 1000 219 3372 6
14 t17 1000 572 4059 8
14 t18 1000 382 3893 7
14 t19 1000 423 3860 7
14 t1 1000 357 2883 5
14 t20 1000 946 4258 9
14 t2 1000 259 2779 4
14 t3 1000 488 3327 5
14 t4 1000 611 3429 6
14 t5 1000 88 1932 3
14 t6 1000 486 3363 6
14 t7 1000 960 3746 7
14 t8 1000 479 3566 6
14 t9 1000 152 2858 5
15 t10 1000 785 3886 7
15 t11 1000 890 4029 8
15 t12 1000 350 3612 6
15 t13 1000 525 3820 7
15 t14 1000 880 4111 9
15 t15 1000 618 3970 7
15 t16 1000 217 3363 6
15 t17 1000 564 4055 8
15 t18 1000 383 3875 7
15 t19 1000 423 3860 7
15 t1 1000 354 2876 5
15 t20 1000 947 4258 9
15 t2 1000 261 2782 5
15 t3 1000 511 3349 5
15 t4 1000 613 3450 6
15 t5 1000 89 1945 3
15 t6 1000 480 3356 6
15 t7 1000 957 3745 7
15 t8 1000 473 3552 6
15 t9 1000 149 2839 5
16 t10 1000 790 3890 7
16 t11 1000 894 4020 8
16 t12 1000 352 3611 6
16 t13 1000 518 3800 7
16 t14 1000 883 4117 8
16 t15 1000 632 3965 7
16 t16 1000 211 3354 6
16 t17 1000 567 4042 7
16 t18 1000 381 3876 7
16 t19 1000 425 3863 7
16 t1 1000 355 2876 5
16 t20 1000 941 4258 9
16 t2 1000 259 2773 4
16 t3 1000 509 3347 5
16 t4 1000 614 3436 6
16 t5 1000 86 1920 3
16 t6 1000 480 3372 6
16 t7 1000 961 3749 7
16 t8 1000 467 3543 6
16 t9 1000 148 2839 4
17 t10 1000 786 3901 7
17 t11 1000 870 4020 8
17 t12 1000 354 3618 6
17 t13 1000 514 3791 7
17 t14 1000 884 4109 8
17 t15 1000 657 3970 7
17 t16 1000 198 3303 6
17 t17 1000 569 4047 8
17 t18 1000 376 3875 7
17 t19 1000 434 3884 7
17 t1 1000 355 2878 4
17 t20 1000 937 4264 9
17 t2 1000 257 2779 4
17 t3 1000 506 3348 5
17 t4 1000 615 3452 6
17 t5 1000 86 1923 3
17 t6 1000 476 3373 6
17 t7 1000 959 3755 7
17 t8 1000 466 3558 6
17 t9 1000 150 2842 5
18 t10 1000 784 3894 7
18 t11 1000 887 4017 8
18 t12 1000 358 3637 6
18 t13 1000 562 3840 7
18 t14 1000 880 4106 8
18 t15 1000 653 3975 8
18 t16 1000 198 3312 6
18 t17 1000 546 4021 7
18 t18 1000 367 3854 7
18 t19 1000 490 3948 7
18 t1 1000 354 2874 5
18 t20 1000 941 4267 9
18 t2 1000 261 2774 4
18 t3 1000 505 3345 6
18 t4 1000 614 3446 6
18 t5 1000 85 1913 3
18 t6 1000 471 3368 6
18 t7 1000 953 3747 7
18 t8 1000 464 3555 6
18 t9 1000 147 2822 5
19 t10 1000 786 3892 7
19 t11 1000 871 4005 8
19 t12 1000 394 3701 6
19 t13 1000 556 3831 7
19 t14 1000 882 4095 8
19 t15 1000 654 3987 7
19 t16 1000 199 3314 6
19 t17 1000 548 4016 8
19 t18 1000 366 3852 7
19 t19 1000 487 3951 7
19 t1 1000 356 2875 5
19 t20 1000 946 4294 9
19 t2 1000 260 2770 4
19 t3 1000 512 3356 5
19 t4 1000 613 3451 6
19 t5 1000 84 1904 3
19 t6 1000 467 3366 6
19 t7 1000 958 3761 7
19 t8 1000 461 3542 6
19 t9 1000 154 2855 5
20 t10 1000 763 3896 7
20 t11 1000 885 4014 8
20 t12 1000 390 3689 6
20 t13 1000 552 3848 7
20 t14 1000 881 4094 8
20 t15 1000 664 3971 7
20 t16 1000 192 3294 6
20 t17 1000 540 4004 7
20 t18 1000 361 3855 7
20 t19 1000 477 3927 7
20 t1 1000 354 2877 5
20 t20 1000 933 4272 9
20 t2 1000 256 2757 4
20 t3 1000 507 3335 5
20 t4 1000 614 3452 6
20 t5 1000 100 2044 3
20 t6 1000 467 3364 6
20 t7 1000 957 3744 7
20 t8 1000 461 3545 6
20 t9 1000 150 2843 5
