n test inserts deletes updates time
1 t10 1000 767 3887 30
1 t11 1000 872 4001 31
1 t12 1000 374 3642 25
1 t13 1000 544 3826 29
1 t14 1000 883 4084 32
1 t15 1000 654 3978 30
1 t16 1000 211 3377 23
1 t17 1000 536 4020 30
1 t18 1000 352 3810 28
1 t19 1000 417 3876 28
1 t1 1000 358 2881 21
1 t20 1000 937 4266 33
1 t2 1000 257 2771 19
1 t3 1000 512 3344 25
1 t4 1000 598 3421 26
1 t5 1000 95 2011 14
1 t6 1000 448 3327 25
1 t7 1000 955 3756 29
1 t8 1000 468 3544 26
1 t9 1000 153 2837 18
2 t10 1000 777 3890 9
2 t11 1000 895 3987 9
2 t12 1000 365 3641 8
2 t13 1000 538 3840 8
2 t14 1000 880 4086 9
2 t15 1000 650 3976 9
2 t16 1000 199 3312 7
2 t17 1000 568 4041 9
2 t18 1000 356 3843 8
2 t19 1000 438 3884 9
2 t1 1000 370 2924 6
2 t20 1000 934 4256 11
2 t2 1000 250 2763 5
2 t3 1000 494 3328 7
2 t4 1000 586 3403 7
2 t5 1000 96 2019 4
2 t6 1000 479 3386 7
2 t7 1000 960 3732 8
2 t8 1000 457 3543 8
2 t9 1000 143 2803 5
3 t10 1000 790 3904 8
3 t11 1000 877 4011 9
3 t12 1000 393 3698 8
3 t13 1000 562 3842 8
3 t14 1000 889 4071 9
3 t15 1000 623 3980 8
3 t16 1000 204 3332 7
3 t17 1000 586 4087 9
3 t18 1000 372 3879 8
3 t19 1000 483 3953 8
3 t1 1000 374 2926 5
3 t20 1000 947 4270 10
3 t2 1000 260 2775 5
3 t3 1000 497 3332 7
3 t4 1000 612 3450 7
3 t5 1000 84 1907 3
3 t6 1000 485 3398 7
3 t7 1000 956 3757 8
3 t8 1000 482 3571 7
3 t9 1000 147 2804 5
4 t10 1000 762 3878 8
4 t11 1000 874 4012 8
4 t12 1000 357 3635 7
4 t13 1000 564 3833 8
4 t14 1000 906 4076 9
4 t15 1000 626 3964 8
4 t16 1000 204 3345 6
4 t17 1000 538 4013 8
4 t18 1000 376 3864 8
4 t19 1000 490 3949 8
4 t1 1000 371 2909 5
4 t20 1000 947 4265 10
4 t2 1000 255 2767 5
4 t3 1000 508 3351 6
4 t4 1000 607 3435 6
4 t5 1000 85 1919 3
4 t6 1000 454 3349 6
4 t7 1000 955 3754 8
4 t8 1000 464 3562 7
4 t9 1000 148 2826 5
5 t10 1000 773 3896 8
5 t11 1000 894 4008 8
5 t12 1000 363 3648 7
5 t13 1000 530 3818 7
5 t14 1000 882 4088 9
5 t15 1000 655 3958 8
5 t16 1000 231 3394 6
5 t17 1000 592 4067 8
5 t18 1000 397 3921 8
5 t19 1000 431 3891 8
5 t1 1000 378 2931 5
5 t20 1000 935 4225 9
5 t2 1000 252 2765 5
5 t3 1000 490 3337 6
5 t4 1000 607 3453 6
5 t5 1000 92 1981 3
5 t6 1000 479 3357 6
5 t7 1000 959 3755 7
5 t8 1000 482 3577 7
5 t9 1000 168 2932 5
6 t10 1000 790 3877 8
6 t11 1000 894 4017 8
6 t12 1000 348 3631 7
6 t13 1000 522 3804 7
6 t14 1000 882 4097 8
6 t15 1000 634 3966 8
6 t16 1000 216 3373 6
6 t17 1000 576 4041 8
6 t18 1000 379 3885 7
6 t19 1000 423 3873 7
6 t1 1000 357 2878 5
6 t20 1000 938 4253 9
6 t2 1000 263 2798 5
6 t3 1000 511 3348 6
6 t4 1000 610 3444 6
6 t5 1000 89 1944 3
6 t6 1000 453 3351 6
6 t7 1000 960 3746 7
6 t8 1000 466 3539 6
6 t9 1000 148 2819 5
7 t10 1000 769 3892 8
7 t11 1000 881 4000 8
7 t12 1000 393 3709 7
7 t13 1000 553 3845 7
7 t14 1000 887 4096 8
7 t15 1000 615 3942 8
7 t16 1000 203 3319 6
7 t17 1000 550 4025 8
7 t18 1000 363 3858 7
7 t19 1000 482 3948 8
7 t1 1000 358 2892 5
7 t20 1000 935 4272 9
7 t2 1000 259 2774 5
7 t3 1000 509 3352 6
7 t4 1000 580 3412 6
7 t5 1000 84 1903 3
7 t6 1000 467 3364 6
7 t7 1000 960 3756 7
7 t8 1000 459 3535 6
7 t9 1000 151 2844 5
8 t10 1000 786 3905 7
8 t11 1000 894 3992 8
8 t12 1000 374 3650 6
8 t13 1000 544 3835 7
8 t14 1000 908 4083 8
8 t15 1000 657 3967 8
8 t16 1000 183 3237 6
8 t17 1000 562 4021 8
8 t18 1000 412 3944 7
8 t19 1000 448 3888 7
8 t1 1000 360 2904 5
8 t20 1000 943 4253 9
8 t2 1000 253 2763 4
8 t3 1000 498 3345 6
8 t4 1000 611 3446 6
8 t5 1000 95 2012 3
8 t6 1000 489 3390 6
8 t7 1000 960 3749 7
8 t8 1000 493 3577 6
8 t9 1000 144 2811 5
9 t10 1000 782 3883 7
9 t11 1000 881 4022 8
9 t12 1000 367 3648 6
9 t13 1000 541 3836 7
9 t14 1000 886 4097 8
9 t15 1000 655 3973 8
9 t16 1000 230 3399 6
9 t17 1000 590 4054 8
9 t18 1000 401 3916 7
9 t19 1000 439 3901 7
9 t1 1000 378 2936 5
9 t20 1000 942 4240 9
9 t2 1000 253 2761 4
9 t3 1000 495 3344 6
9 t4 1000 611 3453 6
9 t5 1000 90 1958 3
9 t6 1000 450 3321 6
9 t7 1000 960 3745 7
9 t8 1000 489 3581 6
9 t9 1000 162 2921 5
10 t10 1000 784 3885 7
10 t11 1000 891 4017 8
10 t12 1000 366 3647 6
10 t13 1000 540 3824 7
10 t14 1000 882 4089 8
10 t15 1000 660 3993 8
10 t16 1000 224 3382 6
10 t17 1000 537 4038 8
10 t18 1000 399 3916 7
10 t19 1000 435 3884 7
10 t1 1000 375 2923 5
10 t20 1000 936 4252 9
10 t2 1000 264 2794 4
10 t3 1000 497 3340 6
10 t4 1000 608 3445 6
10 t5 1000 88 1930 3
10 t6 1000 491 3378 6
10 t7 1000 953 3739 7
10 t8 1000 502 3588 6
10 t9 1000 156 2887 5
11 t10 1000 785 3886 8
11 t11 1000 872 4011 8
11 t12 1000 366 3647 6
11 t13 1000 535 3820 7
11 t14 1000 886 4108 8
11 t15 1000 655 3980 7
11 t16 1000 224 3382 6
11 t17 1000 525 4045 8
11 t18 1000 395 3907 7
11 t19 1000 431 3868 7
11 t1 1000 352 2882 5
11 t20 1000 946 4256 9
11 t2 1000 245 2729 4
11 t3 1000 490 3330 5
11 t4 1000 607 3440 6
11 t5 1000 88 1935 3
11 t6 1000 489 3372 6
11 t7 1000 953 3735 7
11 t8 1000 488 3588 6
11 t9 1000 158 2886 5
12 t10 1000 780 3878 7
12 t11 1000 872 4013 8
12 t12 1000 358 3655 7
12 t13 1000 529 3814 7
12 t14 1000 898 4098 8
12 t15 1000 650 3978 7
12 t16 1000 222 3378 6
12 t17 1000 579 4086 8
12 t18 1000 396 3917 7
12 t19 1000 436 3897 7
12 t1 1000 375 2927 5
12 t20 1000 941 4247 9
12 t2 1000 259 2775 4
12 t3 1000 490 3329 5
12 t4 1000 615 3442 6
12 t5 1000 88 1931 3
12 t6 1000 490 3373 6
12 t7 1000 955 3735 7
12 t8 1000 482 3564 6
12 t9 1000 156 2873 5
13 t10 1000 785 3881 7
13 t11 1000 891 4017 8
13 t12 1000 364 3649 6
13 t13 1000 530 3823 7
13 t14 1000 881 4095 9
13 t15 1000 646 3994 7
13 t16 1000 224 3382 6
13 t17 1000 572 4063 8
13 t18 1000 388 3894 7
13 t19 1000 428 3862 7
13 t1 1000 375 2921 5
13 t20 1000 943 4250 9
13 t2 1000 258 2773 4
13 t3 1000 488 3321 5
13 t4 1000 613 3446 6
13 t5 1000 88 1931 3
13 t6 1000 485 3363 6
13 t7 1000 961 3744 7
13 t8 1000 479 3559 6
13 t9 1000 160 2891 5
