n test inserts deletes updates time
11 t4 1000 612 3477 6
11 t5 998 40 1338 2
11 t6 1000 794 3655 7
11 t7 1000 610 3587 6
11 t8 1000 172 2898 5
11 t9 1000 124 2634 4
12 t10 1000 780 3876 7
12 t11 1000 209 3125 5
12 t12 1000 615 3919 7
12 t13 1000 810 3973 8
12 t14 1000 225 3408 6
12 t15 1000 114 2842 5
12 t16 830 7 297 0
12 t17 1000 92 2666 5
12 t18 1000 583 4123 8
12 t19 1000 487 3971 7
12 t1 1000 490 3079 5
12 t20 1000 923 4342 9
12 t2 1000 159 2322 4
12 t3 1000 368 3053 5
12 t4 1000 612 3478 6
12 t5 998 40 1338 2
12 t6 1000 791 3652 7
12 t7 1000 606 3587 6
12 t8 1000 171 2884 5
12 t9 1000 122 2618 4
13 t10 1000 773 3892 7
13 t11 1000 208 3120 5
13 t12 1000 631 3921 7
13 t13 1000 819 3985 8
13 t14 1000 219 3380 6
13 t15 1000 113 2851 5
13 t16 830 7 297 0
13 t17 1000 92 2652 5
13 t18 1000 580 4093 8
13 t19 1000 478 3958 7
13 t1 1000 487 3090 5
13 t20 1000 912 4307 9
13 t2 1000 162 2338 4
13 t3 1000 397 3098 5
13 t4 1000 602 3456 6
13 t5 998 39 1324 2
13 t6 1000 785 3647 6
13 t7 1000 610 3579 6
13 t8 1000 171 2887 5
13 t9 1000 122 2625 4
14 t10 1000 764 3900 7
14 t11 1000 203 3099 5
14 t12 1000 634 3933 7
14 t13 1000 821 3996 8
14 t14 1000 220 3388 6
14 t15 1000 114 2842 5
14 t16 830 7 297 0
14 t17 1000 90 2652 4
14 t18 1000 582 4106 8
14 t19 1000 476 3954 7
14 t1 1000 484 3078 5
14 t20 1000 914 4303 9
14 t2 1000 164 2359 4
14 t3 1000 396 3115 5
14 t4 1000 591 3465 6
14 t5 998 40 1339 2
14 t6 1000 793 3653 6
14 t7 1000 612 3585 6
14 t8 1000 171 2881 5
14 t9 1000 120 2615 4
15 t10 1000 761 3886 7
15 t11 1000 203 3099 5
15 t12 1000 634 3938 7
15 t13 1000 807 3996 8
15 t14 1000 215 3371 6
15 t15 1000 111 2831 5
15 t16 830 7 297 0
15 t17 1000 89 2646 4
15 t18 1000 569 4088 8
15 t19 1000 475 3963 7
15 t1 1000 486 3066 5
15 t20 1000 917 4313 9
15 t2 1000 166 2369 4
15 t3 1000 393 3102 5
15 t4 1000 589 3462 6
15 t5 998 38 1291 2
15 t6 1000 770 3650 6
15 t7 1000 612 3583 6
15 t8 1000 170 2879 5
15 t9 1000 124 2637 4
16 t10 1000 768 3886 7
16 t11 1000 204 3103 5
16 t12 1000 625 3939 7
16 t13 1000 796 3994 8
16 t14 1000 212 3342 6
16 t15 1000 108 2818 5
16 t16 830 7 297 0
16 t17 1000 90 2668 4
16 t18 1000 578 4090 8
16 t19 1000 465 3942 7
16 t1 1000 483 3060 5
16 t20 1000 925 4283 9
16 t2 1000 169 2392 4
16 t3 1000 389 3101 5
16 t4 1000 610 3476 6
16 t5 998 38 1296 2
16 t6 1000 788 3666 6
16 t7 1000 605 3569 6
16 t8 1000 170 2880 5
16 t9 1000 122 2617 4
17 t10 1000 770 3897 7
17 t11 1000 203 3098 5
17 t12 1000 616 3907 7
17 t13 1000 795 3994 8
17 t14 1000 212 3353 6
17 t15 1000 111 2831 5
17 t16 830 7 297 0
17 t17 1000 94 2687 4
17 t18 1000 574 4069 8
17 t19 1000 463 3946 7
17 t1 1000 482 3064 5
17 t20 1000 925 4306 9
17 t2 1000 164 2344 4
17 t3 1000 390 3104 5
17 t4 1000 612 3472 6
17 t5 998 40 1336 2
17 t6 1000 773 3668 6
17 t7 1000 607 3579 6
17 t8 1000 170 2894 5
17 t9 1000 121 2614 4
18 t10 1000 766 3866 7
18 t11 1000 204 3113 5
18 t12 1000 620 3908 7
18 t13 1000 789 3974 7
18 t14 1000 211 3353 6
18 t15 1000 113 2875 5
18 t16 830 7 297 0
18 t17 1000 93 2690 4
18 t18 1000 567 4054 7
18 t19 1000 461 3952 8
18 t1 1000 479 3063 5
18 t20 1000 913 4296 9
18 t2 1000 164 2347 4
18 t3 1000 389 3103 5
18 t4 1000 613 3464 6
18 t5 998 38 1285 2
18 t6 1000 793 3674 6
18 t7 1000 605 3578 6
18 t8 1000 171 2902 5
18 t9 1000 121 2612 4
19 t10 1000 768 3870 7
19 t11 1000 203 3111 5
19 t12 1000 625 3932 7
19 t13 1000 790 3976 8
19 t14 1000 204 3308 6
19 t15 1000 114 2873 5
19 t16 830 7 297 0
19 t17 1000 91 2641 4
19 t18 1000 541 4046 7
19 t19 1000 455 3925 7
19 t1 1000 474 3045 5
19 t20 1000 920 4332 9
19 t2 1000 163 2349 4
19 t3 1000 387 3092 5
19 t4 1000 578 3430 6
19 t5 998 38 1285 2
19 t6 1000 792 3681 6
19 t7 1000 618 3590 6
19 t8 1000 191 2990 5
19 t9 1000 121 2613 4
20 t10 1000 779 3883 7
20 t11 1000 200 3108 5
20 t12 1000 625 3939 7
20 t13 1000 791 3979 7
20 t14 1000 202 3300 6
20 t15 1000 113 2866 5
20 t16 830 7 297 0
20 t17 1000 90 2632 4
20 t18 1000 562 4069 7
20 t19 1000 444 3924 7
20 t1 1000 474 3044 5
20 t20 1000 929 4321 9
20 t2 1000 164 2346 4
20 t3 1000 385 3086 5
20 t4 1000 575 3431 6
20 t5 998 38 1282 2
20 t6 1000 787 3675 6
20 t7 1000 626 3594 6
20 t8 1000 189 2988 5
20 t9 1000 122 2623 4
1 t10 1000 298 3311 23
1 t11 999 37 1597 10
1 t12 1000 659 3836 29
1 t13 1000 993 3984 31
1 t14 1000 764 4017 31
1 t15 1000 635 3966 30
1 t16 1000 946 4052 32
1 t17 1000 107 2857 19
1 t18 1000 119 2979 19
1 t19 1000 830 4332 33
1 t1 1000 841 3291 26
1 t20 1000 172 3381 22
1 t2 1000 830 3356 27
1 t3 1000 296 3030 21
1 t4 1000 870 3528 27
1 t5 966 22 825 6
1 t6 1000 364 3329 24
1 t7 1000 516 3466 26
1 t8 1000 451 3540 25
1 t9 1000 849 3790 30
2 t10 1000 283 3258 7
2 t11 999 33 1484 3
2 t12 1000 644 3833 8
2 t13 1000 994 3991 9
2 t14 1000 771 4016 9
2 t15 1000 602 3976 9
2 t16 1000 940 4066 10
2 t17 1000 109 2859 6
2 t18 1000 131 3048 6
2 t19 1000 832 4346 10
2 t1 1000 846 3299 7
2 t20 1000 169 3360 7
2 t2 1000 829 3351 7
2 t3 1000 302 3043 6
2 t4 1000 876 3514 7
2 t5 966 22 828 1
2 t6 1000 383 3363 7
2 t7 1000 513 3462 7
2 t8 1000 454 3541 7
2 t9 1000 830 3773 8
3 t10 1000 290 3287 6
3 t11 999 38 1613 3
3 t12 1000 647 3854 8
3 t13 1000 993 3983 9
3 t14 1000 803 4017 9
3 t15 1000 606 3967 8
3 t16 1000 945 4085 9
3 t17 1000 109 2887 6
3 t18 1000 114 2953 6
3 t19 1000 826 4354 10
3 t1 1000 843 3297 6
3 t20 1000 173 3378 7
3 t2 1000 830 3361 6
3 t3 1000 306 3045 6
3 t4 1000 873 3546 7
3 t5 966 22 827 1
3 t6 1000 360 3302 6
3 t7 1000 487 3429 7
3 t8 1000 475 3551 7
3 t9 1000 829 3808 8
4 t10 1000 301 3301 6
4 t11 1000 35 1539 2
4 t12 1000 662 3861 8
4 t13 1000 993 3984 9
4 t14 1000 799 4015 8
4 t15 1000 619 3969 8
4 t16 1000 944 4095 9
4 t17 1000 105 2845 5
4 t18 1000 129 3055 6
4 t19 1000 847 4355 9
4 t1 1000 856 3298 6
4 t20 1000 171 3346 6
4 t2 1000 823 3365 6
4 t3 1000 304 3045 5
4 t4 1000 878 3537 7
4 t5 966 22 821 1
4 t6 1000 360 3304 6
4 t7 1000 481 3429 7
4 t8 1000 459 3529 7
